교차로번호,입력일자,교차로명,유형코드,연동교차로코드,구코드,지번,구경찰서코드,신경찰서코드,작업구분,표출구분,고객번호,계약종별,계량기번호,도로구분,관할사업소,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드,공사형태,지도표출구분,RN_CDE,MNG_AGEN,XCE,YCE
4548,-,신정배수펌프장(연등),002,3917,470,915유,350,350,001,002,-,-,-,001,104,82-0000001935,,1281822    ,1935,10200,-,N,-,-,189115.543154247,547358.720048665
4549,-,CBS앞(연등)3,001,3819,470,917-2도,350,350,001,002,-,-,-,002,104,82-0000002171,,1281563    ,2171,10200,-,N,-,-,188974.745507235,547587.775633547
4550,-,목동부영그린타운(연등)1,001,3826,470,911-9도,350,350,001,002,-,-,-,001,104,82-0000002039,,1293963    ,2039,10200,-,N,-,-,189656.766272385,548564.205112831
4551,-,목동1034동앞,002,3801,470,1130도,350,350,001,002,-,-,-,001,104,82-0000002156,,1149841    ,2156,10100,-,N,-,-,187099.627300001,546461.938879865
4552,-,양천구자원봉사센터,001,3801,470,1108도,350,350,001,002,-,-,-,001,104,82-0000002157,,1149771    ,2157,10100,-,N,-,-,187039.93159,546633.610489864
4553,-,양강중(연등)2,001,180,470,888도,350,350,001,002,-,-,-,001,104,82-0000002008,,-,2008,10100,-,N,-,-,186769.390956466,547306.169342307
4554,-,목동4단지,001,0,470,903-1학,350,350,001,002,-,-,-,002,104,82-0000000443,,1272872    ,443,10200,-,N,-,-,188612.325371278,548143.034461467
4555,-,목동4단지(연등),001,4554,470,903대,350,350,001,002,-,-,-,002,104,82-0000004080,,1282282    ,4080,10200,-,N,-,-,188787.816735812,548171.531432804
4556,-,국민은행암사,001,2279,740,541도,310,310,001,002,-,-,-,001,106,82-0000003771,,-,3771,10700,-,N,-,-,211311.999323297,550219.593441632
4557,-,월촌초등학교앞(연등)2,001,3842,470,902-3도,350,350,001,002,-,-,-,001,104,82-0000005066,,-,5066,10200,-,N,-,-,188834.494924317,548773.766547173
4558,-,월촌초등학교앞(연등)1,001,3842,470,901-3도,350,350,001,002,-,-,-,001,104,82-0000004867,,-,4867,10200,-,N,-,-,189035.338673733,549050.939061031
4560,-,양정중,001,3824,470,911-10제,350,350,001,002,-,-,-,001,104,82-0000004868,,-,4868,10200,-,N,-,-,190089.064381149,548481.461411473
4561,-,양정고(연등),001,3874,470,911-10제,350,350,001,002,-,-,-,001,104,82-0000001368,,-,1368,10200,-,N,-,-,190070.144983331,548217.142487623
4562,-,갈산초교삼거리(연등),001,584,470,329대,350,350,001,002,-,-,-,001,104,82-0000002772,,1178722    ,2772,10100,-,N,-,-,188567.376230976,545858.921878912
4563,-,양천구청역(연등)2,001,3460,470,328대,350,350,001,002,-,-,-,002,104,82-0000003054,,1178042    ,3054,10100,-,N,-,-,188220.703385278,545955.034715137
4564,-,궁동터널입구,001,0,470,1315 차,350,350,001,002,-,-,-,001,104,82-0000001697,,1127012    ,1697,10100,-,N,-,-,185695.104231924,545301.687141
4565,-,목동509동,001,0,470,-,350,350,001,002,-,-,-,002,104,82-0000001518,,2202192    ,1518,10200,-,N,-,-,189736.075437629,548221.952756471
4567,-,목동812동(연등),001,3804,470,317도,350,350,001,002,-,-,-,001,104,82-0000000479,,1270412    ,479,10100,-,N,-,-,188384.329916473,546815.669120051
4568,-,세신교회,002,3811,470,327-4도,350,350,001,002,-,-,-,001,104,82-0000000799,,1168491    ,799,10100,-,N,-,-,187941.1131836,546231.636072531
4569,-,신정3동우체국,001,0,470,1266도,350,350,001,002,-,-,-,001,104,82-0000002158,,-,2158,10100,-,N,-,-,187051.581741913,545941.903570922
4570,-,강서교육지원청입구(연등),003,3933,470,258도,350,350,001,002,-,-,-,001,104,82-0000001707,,-,1707,10300,-,N,-,-,185196.687386016,548909.40274505
4571,-,광영여고(연등),001,2872,470,258도,350,350,001,002,-,-,-,001,104,82-0000002164,,-,2164,10300,-,N,-,-,184275.021944551,548869.65870346
4572,-,목동5단지상가,001,0,470,913-4도,350,350,001,002,-,-,-,002,104,82-0000004472,,-,4472,10200,-,N,-,-,189446.577281789,548207.655792655
4573,-,양강중(연등)1,001,180,470,1090도,350,350,001,002,-,-,-,001,104,82-0000000487,,-,487,10100,-,N,-,-,186895.649433839,547207.49450006
4575,-,해동카도크,001,0,200,277-72도,180,180,001,002,-,-,-,001,109,82-0000001708,,5215022    ,1708,11500,-,N,-,-,205216.125744904,549352.88939868
4576,-,수락현대아파트,001,0,350,1121-4천,370,370,001,002,-,-,-,002,107,82-0000003055,,-,3055,10500,-,N,-,-,205116.799018309,563916.119050068
4578,-,난곡GS칼텍스,003,0,620,598-3대,290,290,001,002,-,-,-,001,105,82-0000001698,,2069254    ,1698,10200,-,N,-,-,192823.559466215,541507.981199217
4579,-,관악우림시장(연등),001,0,620,619-9대,290,290,001,002,-,-,-,001,105,82-0000001699,,2068493    ,1699,10200,-,N,-,-,192916.684066646,541246.482447046
4580,-,건영유치원,001,0,620,495도,290,290,001,002,-,-,-,002,105,82-0000002159,,2152622    ,2159,10200,-,N,-,-,192510.326699999,542853.513509864
4581,-,힐스테이트뉴포레,003,0,620,686-38대,290,290,001,002,-,-,-,001,105,82-0000001519,,2131981    ,1519,10200,-,N,-,-,191632.665884604,542670.343146541
4582,-,힐스테이트뉴포레103동,001,0,620,719 대,290,290,001,002,-,-,-,001,105,82-0000000480,,2132904    ,480,10200,-,N,-,-,191638.71272568,542780.954650072
4583,-,구로이마트후문(경보),001,0,530,188-4도,260,330,001,002,-,-,-,002,104,82-0000002160,,-,2160,10200,-,N,-,-,191029.401069585,542800.13789021
4584,-,에이스하이엔드,002,0,530,843전,330,330,001,002,-,-,-,001,104,82-0000003057,,-,3057,10200,-,N,-,-,190486.926881247,542449.628087198
4585,-,구로한일카센터,001,0,530,133-72도,330,330,001,002,-,-,-,001,104,82-0000005354,,-,5354,10300,-,N,-,-,190386.159417371,542348.747910752
4586,-,가리봉사거리,003,0,530,124-40대,330,330,001,002,-,-,-,001,104,82-0000004156,,-,4156,10300,-,N,-,-,189978.631783428,542489.756064491
4587,-,가산동교차로(경보),001,0,540,390-34 대,260,260,001,002,-,-,-,001,105,82-0000001520,,1192531    ,1520,10100,-,N,-,-,189472.76452378,542920.323949871
4588,-,벽산디지털밸리,001,0,540,60-35도,260,260,001,002,-,-,-,002,105,82-0000003338,,-,3338,10100,-,N,-,-,189855.699676061,541857.670109832
4589,-,독산진도2차아파트,001,0,540,1133대,-,260,001,002,-,-,-,002,105,82-0000002773,,-,2773,10200,-,N,-,-,190430.660162131,541222.915889925
4590,-,빅마켓금천점,002,0,540,148-22대,260,260,001,002,-,-,-,001,105,82-0000001369,,2028082    ,1369,10200,-,N,-,-,190702.272799831,541189.449094053
4591,-,독산진도2차아파트(연등),001,4589,540,295-22도,260,260,001,002,-,-,-,002,105,82-0000001521,,-,1521,10200,-,N,-,-,190607.786171521,541211.765093994
4592,-,두산초교(경보),001,0,540,1081-9도,260,260,001,002,-,-,-,001,105,82-0000000800,,-,800,10200,-,N,-,-,190428.817647046,540796.885793176
4593,-,현대아파트입구(경보),001,0,540,1006-126대,260,260,001,002,-,-,-,002,105,82-0000001700,,2017522    ,1700,10200,-,N,-,-,190462.746332035,540359.900632076
4595,-,가산동주민센터(연등)1,001,1400,540,142-45도,260,260,001,002,-,-,-,001,105,82-0000000801,,2110532    ,801,10100,-,N,-,-,190457.658457539,541938.978909574
4596,-,가산초교(경보),003,0,540,148-34도,260,260,001,002,-,-,-,002,105,82-0000001522,,-,1522,10100,-,N,-,-,190822.538300578,541966.754909799
4597,-,흥일초교(경보),002,0,540,792-1대,-,260,001,001,-,-,-,002,105,82-0000001701,,-,1701,10300,-,N,-,-,191777.452464932,540358.375372425
4598,-,문교초교(경보),001,0,540,산202-1학,260,260,001,002,-,-,-,002,105,82-0000000481,,-,481,10200,-,N,-,-,191870.642514969,540797.219648155
4599,-,금천스포츠(경보),001,0,540,산138-6도,-,260,001,002,-,-,-,002,105,82-0000002163,,-,2163,10300,-,N,-,-,191747.21101145,540500.240765541
