method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,3,2,6,bo_r03_002_tl55_dt52_ge38_qr75_tau71,55,52,38,0.75,0.71,144.92,513.98,178.47,178.47,0.00,PASS,,recovery_detected,True,False,0,933,1,27,349.40,213.79,485.02,,,,,,,,,,,,,,,178.47,,,
BO,20260607,3,3,6,bo_r03_003_tl117_dt3_ge19_qr98_tau78,117,3,19,0.98,0.78,283.92,483.38,302.05,178.47,0.00,PASS,,recovery_detected,True,False,0,5110,0,17,318.15,190.52,445.77,,,,,,,,,,,,,,,302.05,,,
BO,20260607,3,4,6,bo_r03_004_tl95_dt181_ge20_qr27_tau74,95,181,20,0.27,0.74,541.92,459.86,534.46,178.47,0.00,PASS,,recovery_detected,True,False,0,685,1,72,382.54,265.30,499.78,,,,,,,,,,,,,,,534.46,,,
BO,20260607,3,5,6,bo_r03_005_tl26_dt127_ge1_qr65_tau72,26,127,1,0.65,0.72,300.92,487.32,317.87,178.47,0.00,PASS,,recovery_detected,True,False,0,1301,1,101,331.34,203.94,458.75,,,,,,,,,,,,,,,317.87,,,
BO,20260607,3,6,6,bo_r03_006_tl55_dt176_ge38_qr40_tau85,55,176,38,0.4,0.85,284.92,485.44,303.15,178.47,0.00,PASS,,recovery_detected,True,False,0,259,1,34,338.24,222.56,453.92,,,,,,,,,,,,,,,303.15,,,
BO,20260607,4,1,6,bo_r04_001_tl3_dt71_ge44_qr30_tau88,3,71,44,0.3,0.88,170.92,508.41,201.60,178.47,0.00,PASS,,recovery_detected,True,False,0,941,1,24,292.10,178.93,405.28,,,,,,,,,,,,,,,201.60,,,
BO,20260607,4,2,6,bo_r04_002_tl31_dt28_ge30_qr19_tau81,31,28,30,0.19,0.81,177.92,509.01,208.02,178.47,0.00,PASS,,recovery_detected,True,False,0,2280,1,27,281.84,184.24,379.44,,,,,,,,,,,,,,,208.02,,,
BO,20260607,4,3,6,bo_r04_003_tl68_dt239_ge1_qr84_tau82,68,239,1,0.84,0.82,354.92,476.87,366.01,178.47,0.00,PASS,,recovery_detected,True,False,0,1055,1,113,414.87,286.19,543.54,,,,,,,,,,,,,,,366.01,,,
BO,20260607,4,4,6,bo_r04_004_tl67_dt190_ge15_qr77_tau75,67,190,15,0.77,0.75,314.92,484.75,330.36,178.47,0.00,PASS,,recovery_detected,True,False,0,548,1,60,447.96,363.61,532.32,,,,,,,,,,,,,,,330.36,,,
BO,20260607,4,5,6,bo_r04_005_tl11_dt176_ge20_qr90_tau78,11,176,20,0.9,0.78,284.92,484.64,303.08,178.47,0.00,PASS,,recovery_detected,True,False,0,641,1,51,364.85,259.53,470.16,,,,,,,,,,,,,,,303.08,,,
BO,20260607,4,6,6,bo_r04_006_tl56_dt15_ge36_qr99_tau75,56,15,36,0.99,0.75,163.92,507.35,195.14,178.47,0.00,PASS,,recovery_detected,True,False,0,3532,0,18,251.91,172.38,331.44,,,,,,,,,,,,,,,195.14,,,
BO,20260607,5,1,6,bo_r05_001_tl50_dt39_ge28_qr38_tau70,50,39,28,0.38,0.7,221.92,492.09,246.48,178.47,0.00,PASS,,recovery_detected,True,False,0,1751,1,35,244.08,213.32,274.83,,,,,,,,,,,,,,,246.48,,,
BO,20260607,5,2,6,bo_r05_002_tl114_dt119_ge42_qr19_tau76,114,119,42,0.19,0.76,357.92,474.58,368.53,178.47,0.00,PASS,,recovery_detected,True,False,0,219,1,37,299.70,190.46,408.94,,,,,,,,,,,,,,,368.53,,,
