method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,18,1,6,bo_r18_001_tl36_dt35_ge29_qr39_tau80,36,35,29,0.39,0.8,112.69,93.63,200.74,32.96,368.51,10.94,10.75,7.29,2.00,1.35,1.78,1.39,7.29,3.58,7.29,2.90,1.98632990,5,0.666231
BO,20260607,18,2,6,bo_r18_002_tl40_dt33_ge28_qr37_tau82,40,33,28,0.37,0.82,136.10,93.63,200.74,32.96,368.51,10.19,10.02,7.01,1.94,1.31,1.71,1.35,7.01,3.47,7.01,2.80,1.94691753,5,0.687681
BO,20260607,18,3,6,bo_r18_003_tl3_dt57_ge44_qr1_tau81,3,57,44,0.01,0.81,183.46,93.63,200.74,32.96,368.51,9.46,9.24,5.40,1.33,0.92,1.30,0.97,5.40,2.56,5.40,2.08,1.68706802,5,0.571441
BO,20260607,18,4,6,bo_r18_004_tl39_dt34_ge38_qr36_tau82,39,34,38,0.36,0.82,136.42,93.63,200.74,32.96,368.51,9.35,9.21,6.70,1.88,1.27,1.64,1.31,6.70,3.35,6.70,2.69,1.90140624,5,0.715773
BO,20260607,18,5,6,bo_r18_005_tl30_dt27_ge41_qr27_tau81,30,27,41,0.27,0.81,97.60,93.63,200.74,32.96,368.51,8.66,8.51,5.88,1.62,1.10,1.44,1.13,5.88,2.90,5.88,2.34,1.77155334,5,0.679111
BO,20260607,18,6,6,bo_r18_006_tl38_dt32_ge42_qr27_tau80,38,32,42,0.27,0.8,136.12,93.63,200.74,32.96,368.51,8.27,8.13,5.66,1.62,1.08,1.40,1.10,5.66,2.78,5.66,2.27,1.73279976,5,0.683964
BO,20260607,19,1,6,bo_r19_001_tl67_dt14_ge35_qr75_tau71,67,14,35,0.75,0.71,141.27,93.63,197.02,30.76,363.27,9.19,9.07,6.74,2.09,1.38,1.71,1.35,6.74,3.32,6.74,2.76,1.90764367,5,0.732721
BO,20260607,19,2,6,bo_r19_002_tl58_dt14_ge48_qr83_tau70,58,14,48,0.83,0.7,141.27,93.63,197.02,30.76,363.27,8.49,8.39,6.52,1.98,1.32,1.63,1.31,6.52,3.27,6.52,2.67,1.87412363,5,0.767495
BO,20260607,19,3,6,bo_r19_003_tl38_dt29_ge36_qr11_tau81,38,29,36,0.11,0.81,141.23,93.63,197.02,30.76,363.27,8.53,8.37,5.44,1.56,1.04,1.36,1.04,5.44,2.60,5.44,2.17,1.69372593,5,0.637863
BO,20260607,19,4,6,bo_r19_004_tl8_dt108_ge31_qr46_tau80,8,108,31,0.46,0.8,185.52,93.63,197.02,30.76,363.27,8.28,8.12,5.15,1.21,0.85,1.20,0.93,5.15,2.55,5.15,1.98,1.63817958,5,0.621314
