edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-228795467#2,1.0,0.0,1.0,8.29
-228795468#0,10.0,12.0,12.0,69.95
-228795468#1,8.0,9.0,9.0,43.46
-228795468#2,8.0,9.0,9.0,27.02
-228795468#3,7.0,9.0,9.0,48.49
-228795471,25.0,39.0,39.0,93.18
-228795474#0,2.0,6.0,6.0,62.41
-228795474#2,0.0,0.0,0.0,0.0
-228795477#1,7.0,7.0,7.0,2842.58
-228795477#2,1.0,0.0,1.0,2.55
-228795477#3,3.0,1.0,3.0,9.26
-228795477#5,0.0,2.0,2.0,126.11
-228795477#6,1.0,0.0,1.0,2.96
-228795477#7,4.0,3.0,4.0,21.56
-228795477#8,3.0,3.0,3.0,11.62
-228795478#0,3.0,5.0,5.0,38.03
-228795478#1,6.0,3.0,6.0,24.8
-228795478#2,5.0,5.0,5.0,25.55
-228795480,1.0,1.0,1.0,7.62
-228795481#0,0.0,0.0,0.0,0.0
-228795481#1,1.0,2.0,2.0,12.62
-228795483,5.0,5.0,5.0,21.89
-228795484#0,9.0,11.0,11.0,63.08
-228795484#1,7.0,7.0,7.0,39.45
-228796091#0,1.0,0.0,1.0,1.56
-228796091#1,2.0,1.0,2.0,6.8
-228796091#4,2.0,0.0,2.0,17.83
-228797633#1,10.0,10.0,10.0,49.69
-228797635#1,5.0,11.0,11.0,458.16
-228797635#2,3.0,3.0,3.0,35.63
-228797638#1,6.0,6.0,6.0,59.99
-228950039,0.0,0.0,0.0,0.0
-228950040#2,6.0,5.0,6.0,31.16
-229028338#0,0.0,0.0,0.0,0.0
-229028344#1,3.0,1.0,3.0,16.9
-229028634#1,7.0,8.0,8.0,89.51
-233651273,193.0,193.0,193.0,1296.36
-233651275,0.0,1.0,1.0,9.14
-233651280#0,3.0,6.0,6.0,63.42
-233651280#1,8.0,7.0,8.0,61.67
-233651284#0,13.0,11.0,13.0,109.46
-233651284#1,3.0,5.0,5.0,43.22
-233651288#0,4.0,0.0,4.0,34.93
-233651289#1,0.0,0.0,0.0,0.0
-233651326#2,0.0,0.0,0.0,0.0
-233651326#3,1.0,0.0,1.0,8.61
-233651327#5,0.0,0.0,0.0,0.0
