input_method,input_seed,input_round,input_parameter_id,input_t_lead,input_delta_T_thr,input_G_ext,input_Q_ratio,input_tau,output_D_E_sec,output_D_G_sec,weight_E,weight_G,weight_ratio,score,measured_T_free_EMV_sec,measured_T_actual_EMV_sec,measured_D_E_sec,measured_D_G_sec,measured_general_mean_travel_time_sec,stage2_on_count,stage3_on_count
BO,20260607,22,bo_r22_001_tl89_dt194_ge48_qr7_tau79,89,194,48,0.07,0.79,320.92,446.11,0.91,0.09,10:1,332.30,,,320.92,446.11,,1,31
BO,20260607,22,bo_r22_002_tl89_dt194_ge48_qr7_tau81,89,194,48,0.07,0.81,320.92,446.11,0.91,0.09,10:1,332.30,,,320.92,446.11,,1,31
BO,20260607,22,bo_r22_003_tl88_dt163_ge47_qr6_tau74,88,163,47,0.06,0.74,276.92,458.96,0.91,0.09,10:1,293.47,,,276.92,458.96,,1,28
BO,20260607,22,bo_r22_004_tl86_dt170_ge47_qr0_tau76,86,170,47,0.0,0.76,259.92,453.83,0.91,0.09,10:1,277.55,,,259.92,453.83,,1,30
BO,20260607,22,bo_r22_005_tl20_dt182_ge26_qr22_tau83,20,182,26,0.22,0.83,504.92,308.78,0.91,0.09,10:1,487.09,,,504.92,308.78,,1,56
BO,20260607,22,bo_r22_006_tl106_dt86_ge5_qr98_tau79,106,86,5,0.98,0.79,645.92,289.81,0.91,0.09,10:1,613.55,,,645.92,289.81,,0,130
BO,20260607,23,bo_r23_001_tl92_dt200_ge46_qr9_tau80,92,200,46,0.09,0.8,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,23,bo_r23_002_tl92_dt200_ge46_qr7_tau80,92,200,46,0.07,0.8,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,23,bo_r23_003_tl85_dt211_ge49_qr15_tau78,85,211,49,0.15,0.78,657.92,292.41,0.91,0.09,10:1,624.69,,,657.92,292.41,,1,45
BO,20260607,23,bo_r23_004_tl89_dt207_ge50_qr13_tau75,89,207,50,0.13,0.75,0.00,466.18,0.91,0.09,10:1,42.38,,,0.00,466.18,,1,25
BO,20260607,23,bo_r23_005_tl108_dt219_ge32_qr13_tau88,108,219,32,0.13,0.88,473.92,427.69,0.91,0.09,10:1,469.72,,,473.92,427.69,,1,49
BO,20260607,23,bo_r23_006_tl17_dt211_ge0_qr85_tau80,17,211,0,0.85,0.8,473.92,423.93,0.91,0.09,10:1,469.38,,,473.92,423.93,,1,136
BO,20260607,24,bo_r24_001_tl92_dt200_ge46_qr9_tau81,92,200,46,0.09,0.81,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,24,bo_r24_002_tl92_dt200_ge46_qr9_tau79,92,200,46,0.09,0.79,279.92,459.23,0.91,0.09,10:1,296.22,,,279.92,459.23,,1,29
BO,20260607,24,bo_r24_003_tl105_dt222_ge44_qr9_tau84,105,222,44,0.09,0.84,0.00,487.23,0.91,0.09,10:1,44.29,,,0.00,487.23,,1,26
