method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,observed_score,best_so_far,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,bo_selection_strategy,bo_candidate_source,bo_plateau_mode,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score
BO,20260607,11,6,6,bo_r11_006_tl5_dt217_ge49_qr96_tau71,5,217,49,0.96,0.71,1000459.69,277.55,92333.43,-502767.60,687434.45,0.22,0.10,ei,global,False,0.07,0.02,0.01,0.02,0.01,0.07,0.03,0.07,0.03,-2.68372361,5,0.662168
BO,20260607,12,1,6,bo_r12_001_tl90_dt199_ge47_qr7_tau79,90,199,47,0.07,0.79,277.55,277.55,1504.30,-70394.22,73402.82,1.21,76.36,incumbent_exploitation,stable_success,False,53.47,18.97,12.11,14.45,11.03,53.47,19.90,53.47,21.66,3.97916651,5,0.696563
BO,20260607,12,2,6,bo_r12_002_tl90_dt196_ge47_qr8_tau80,90,196,47,0.08,0.8,277.55,277.55,15668.15,-239467.49,270803.80,6.86,68.55,incumbent_exploitation,stable_success,False,48.98,17.25,11.04,13.17,10.12,48.98,18.40,48.98,19.83,3.89137527,5,0.710834
BO,20260607,12,3,6,bo_r12_003_tl98_dt198_ge50_qr3_tau81,98,198,50,0.03,0.81,1000042.38,277.55,276905.96,-626618.12,1180430.05,70.95,62.80,ei,local,False,46.32,16.71,10.66,12.54,9.70,46.32,17.47,46.32,18.90,3.83561935,5,0.734182
BO,20260607,12,4,6,bo_r12_004_tl97_dt197_ge50_qr11_tau81,97,197,50,0.11,0.81,1000042.38,277.55,261457.14,-627678.12,1150592.39,69.52,61.88,ei,local,False,46.73,16.63,10.65,12.55,9.78,46.73,17.83,46.73,19.03,3.84430243,5,0.751775
BO,20260607,12,5,6,bo_r12_005_tl43_dt183_ge8_qr97_tau77,43,183,8,0.97,0.77,1000533.93,277.55,439767.11,-533003.13,1412537.35,229.87,93.82,ei,global,False,64.09,16.55,11.40,15.30,12.12,64.09,25.69,64.09,24.19,4.16024785,5,0.679282
BO,20260607,12,6,6,bo_r12_006_tl108_dt6_ge0_qr22_tau79,108,6,0,0.22,0.79,326.04,277.55,439733.69,-533036.55,1412503.93,96.61,32.24,ei,global,False,21.73,7.88,4.99,5.95,4.48,21.73,7.91,21.73,8.82,3.07853721,5,0.669970
BO,20260607,13,1,6,bo_r13_001_tl89_dt194_ge46_qr7_tau79,89,194,46,0.07,0.79,296.22,277.55,-48513.07,-386469.11,289442.96,21.47,27.90,stable_success_lattice,stable_success,False,19.44,6.88,4.39,5.25,4.00,19.44,7.23,19.44,7.86,2.96721967,5,0.692867
BO,20260607,13,2,6,bo_r13_002_tl89_dt200_ge46_qr7_tau79,89,200,46,0.07,0.79,296.22,277.55,-67124.59,-381965.93,247716.75,21.19,27.90,stable_success_lattice,stable_success,False,19.39,6.86,4.38,5.24,3.99,19.39,7.20,19.39,7.84,2.96470366,5,0.691126
BO,20260607,13,3,6,bo_r13_003_tl76_dt191_ge50_qr18_tau86,76,191,50,0.18,0.86,1000042.46,277.55,410141.41,-558148.80,1378431.61,70.24,35.81,ei,local,False,28.24,9.16,6.01,7.26,5.81,28.24,11.22,28.24,11.28,3.34062450,5,0.785472
BO,20260607,13,4,6,bo_r13_004_tl94_dt219_ge50_qr21_tau84,94,219,50,0.21,0.84,1000042.46,277.55,509994.61,-444939.65,1464928.87,74.24,35.14,ei,local,False,28.09,9.63,6.24,7.38,5.88,28.09,11.04,28.09,11.38,3.33556555,5,0.796699
BO,20260607,13,5,6,bo_r13_005_tl77_dt154_ge23_qr39_tau72,77,154,23,0.39,0.72,1000488.31,277.55,453560.89,-519809.06,1426930.85,66.21,57.44,ei,global,False,35.09,11.76,7.53,9.39,6.91,35.09,12.59,35.09,13.88,3.55796268,5,0.606756
BO,20260607,13,6,6,bo_r13_006_tl76_dt7_ge1_qr0_tau82,76,7,1,0.0,0.82,1000043.46,277.55,443994.00,-529927.93,1417915.93,25.72,11.50,ei,global,False,6.86,2.28,1.46,1.83,1.34,6.86,2.44,6.86,2.70,1.92555844,5,0.592415
BO,20260607,14,1,6,bo_r14_001_tl89_dt195_ge46_qr7_tau79,89,195,46,0.07,0.79,296.22,277.55,-6114.40,-36577.58,24348.78,0.00,27.83,stable_success_lattice,stable_success,False,19.38,6.85,4.38,5.23,3.99,19.38,7.20,19.38,7.84,2.96405893,5,0.692577
BO,20260607,14,2,6,bo_r14_002_tl89_dt200_ge46_qr7_tau80,89,200,46,0.07,0.8,296.22,277.55,-1858.50,-130481.41,126764.40,0.00,27.68,stable_success_lattice,stable_success,False,19.53,6.87,4.39,5.25,4.03,19.53,7.31,19.53,7.90,2.97218623,5,0.702126
BO,20260607,14,3,6,bo_r14_003_tl86_dt189_ge50_qr0_tau84,86,189,50,0.0,0.84,1000042.46,277.55,452467.07,-457596.62,1362530.77,71.04,29.02,ei,local,False,21.57,7.44,4.79,5.72,4.46,21.57,8.27,21.57,8.71,3.07120446,5,0.739826
BO,20260607,14,4,6,bo_r14_004_tl85_dt211_ge50_qr5_tau84,85,211,50,0.05,0.84,1000042.46,277.55,426032.74,-461195.65,1313261.14,67.93,27.37,ei,local,False,20.45,6.98,4.51,5.40,4.22,20.45,7.87,20.45,8.24,3.01779996,5,0.743545
BO,20260607,14,5,6,bo_r14_005_tl24_dt176_ge9_qr46_tau72,24,176,9,0.46,0.72,1000042.77,277.55,462245.42,-514828.56,1439319.40,187.30,58.73,ei,global,False,27.93,6.77,4.57,6.86,4.70,27.93,9.64,27.93,10.08,3.32965786,5,0.471114
BO,20260607,14,6,6,bo_r14_006_tl110_dt0_ge14_qr48_tau84,110,0,14,0.48,0.84,1000377.40,277.55,462185.06,-514888.04,1439258.16,17.29,4.07,ei,global,False,3.42,1.18,0.76,0.90,0.72,3.42,1.36,3.42,1.39,1.23000255,5,0.838405
BO,20260607,15,1,6,bo_r15_001_tl89_dt196_ge46_qr7_tau79,89,196,46,0.07,0.79,296.22,277.55,-3184.70,-26734.36,20364.96,0.00,27.78,stable_success_lattice,stable_success,False,19.34,6.84,4.37,5.22,3.98,19.34,7.19,19.34,7.82,2.96198630,5,0.692287
BO,20260607,15,2,6,bo_r15_002_tl89_dt194_ge46_qr7_tau81,89,194,46,0.07,0.81,296.22,277.55,20077.10,-143748.80,183902.99,0.00,27.61,stable_success_lattice,stable_success,False,19.83,6.94,4.45,5.31,4.09,19.83,7.48,19.83,8.02,2.98736437,5,0.714867
BO,20260607,15,3,6,bo_r15_003_tl96_dt147_ge49_qr19_tau81,96,147,49,0.19,0.81,1000624.69,277.55,488298.24,-489756.64,1466353.11,99.05,34.61,ei,local,False,27.11,9.53,6.13,7.22,5.69,27.11,10.51,27.11,11.03,3.30002054,5,0.780337
BO,20260607,15,4,6,bo_r15_004_tl91_dt150_ge50_qr8_tau81,91,150,50,0.08,0.81,1000042.38,277.55,505587.58,-468827.82,1480002.98,94.24,32.86,ei,local,False,24.65,8.68,5.57,6.59,5.14,24.65,9.42,24.65,10.01,3.20490076,5,0.746829
BO,20260607,15,5,6,bo_r15_005_tl106_dt90_ge46_qr5_tau84,106,90,46,0.05,0.84,1000478.69,277.55,475607.08,-503244.52,1454458.68,140.21,64.17,ei,global,False,51.87,18.74,12.01,13.94,11.04,51.87,20.13,51.87,21.29,3.94867398,5,0.805500
