edge_id,target_lanes,current_lanes,lane_delta,source_segment_ids,source_directions,source_row_count,dominant_segment_ids,dominant_directions,dominant_match_ratio,repair_reason
781985783,2,2,0,S10 S11 S12,downbound,3,S10 S11 S12,downbound,1.0,edge_weighted_majority_lane_target
781985786#6,3,3,0,S13 S14,downbound,2,S13 S14,downbound,0.5,edge_weighted_majority_lane_target
781985786#7,3,3,0,S12 S13 S14,downbound,3,S12 S13 S14,downbound,1.0,edge_weighted_majority_lane_target
781985792#3,3,2,1,S10 S9,downbound,2,S10 S9,downbound,0.347826,edge_weighted_majority_lane_target
782892492#1,2,1,1,S10 S11,downbound,2,S10 S11,downbound,0.714286,edge_weighted_majority_lane_target
783692390#1,2,1,1,S11,downbound,1,S11,downbound,0.071429,edge_weighted_majority_lane_target
785130598#8,2,2,0,S8 S9,downbound,2,S8 S9,downbound,0.833333,edge_weighted_majority_lane_target
785130603,3,1,2,S6 S7,downbound,2,S6 S7,downbound,0.194444,edge_weighted_majority_lane_target
619147739#4,3,2,1,S18 S19,downbound,2,S18 S19,downbound,0.3,edge_weighted_majority_lane_target
1455497343#0,3,2,1,S7 S8,downbound,2,S7 S8,downbound,0.666667,edge_weighted_majority_lane_target
785130598#0,2,2,0,S10 S9,downbound,2,S10 S9,downbound,0.142857,edge_weighted_majority_lane_target
273638834#2,2,1,1,S10 S9,downbound,2,S10 S9,downbound,0.102041,edge_weighted_majority_lane_target
781985786#3,3,3,0,S14 S15,downbound,2,S14 S15,downbound,0.454545,edge_weighted_majority_lane_target
785130598#1,3,2,1,S10 S9,downbound,2,S10 S9,downbound,0.163265,isolated_lane_gap_smoothing
174870621#2,3,2,1,S1 S2,downbound,2,S1 S2,downbound,0.27027,edge_weighted_majority_lane_target
781985779#0,3,2,1,S10 S11,downbound,2,S10 S11,downbound,0.304348,edge_weighted_majority_lane_target
-800229255,3,2,1,S2 S3,downbound,2,S2 S3,downbound,0.3,edge_weighted_majority_lane_target
578313749#0,3,3,0,S2,downbound,1,S2,downbound,0.3,edge_weighted_majority_lane_target
1206223943,2,2,0,S22,downbound,1,S22,downbound,0.357143,edge_weighted_majority_lane_target
1109231377#1,2,1,1,S11 S12,downbound,2,S11 S12,downbound,0.428571,edge_weighted_majority_lane_target
781985786#8,2,3,-1,S12 S13,downbound,2,S12 S13,downbound,0.5,edge_weighted_majority_lane_target
1206223946#0,2,2,0,S21 S22,downbound,2,S21 S22,downbound,0.5,edge_weighted_majority_lane_target
781985786#1,3,3,0,S15,downbound,1,S15,downbound,0.111111,edge_weighted_majority_lane_target
381802847#1,3,1,2,S1,downbound,1,S1,downbound,0.216216,edge_weighted_majority_lane_target
1455512070,3,2,1,S6,downbound,1,S6,downbound,0.282609,edge_weighted_majority_lane_target
-578313748#2,3,2,1,S2 S3,downbound,2,S2 S3,downbound,0.4,edge_weighted_majority_lane_target
785130598#2,2,2,0,S9,downbound,1,S9,downbound,0.44898,edge_weighted_majority_lane_target
578313749#1,3,3,0,S2,downbound,1,S2,downbound,0.4,edge_weighted_majority_lane_target
921117704#0,3,2,1,S16 S17,downbound,2,S16 S17,downbound,0.333333,edge_weighted_majority_lane_target
1455497343#1,3,2,1,S7,downbound,1,S7,downbound,0.416667,edge_weighted_majority_lane_target
781985779#1,3,2,1,S10,downbound,1,S10,downbound,0.478261,edge_weighted_majority_lane_target
619147739#0,3,2,1,S19 S20,downbound,2,S19 S20,downbound,0.666667,edge_weighted_majority_lane_target
-180368918#3,3,2,1,S3 S4,downbound,2,S3 S4,downbound,0.642857,edge_weighted_majority_lane_target
-218773868#6,3,2,1,S6,downbound,1,S6,downbound,0.173913,edge_weighted_majority_lane_target
-180368918#7,3,2,1,S4 S5,downbound,2,S4 S5,downbound,0.714286,edge_weighted_majority_lane_target
1109231376,2,1,1,S12,downbound,1,S12,downbound,0.363636,edge_weighted_majority_lane_target
219696191#1,2,1,1,S21,downbound,1,S21,downbound,0.8,edge_weighted_majority_lane_target
781983103#1,3,2,1,S17 S18,downbound,2,S17 S18,downbound,0.684211,edge_weighted_majority_lane_target
174870621#4,3,2,1,S1,downbound,1,S1,downbound,0.324324,edge_weighted_majority_lane_target
381802847#2,3,1,2,S1,downbound,1,S1,downbound,0.135135,edge_weighted_majority_lane_target
1206223946#1,2,2,0,S21,downbound,1,S21,downbound,0.8,edge_weighted_majority_lane_target
