edge_id,current_lanes,target_lanes_simple,weighted_majority_lanes,max_target_lanes,total_matched_length_m,max_match_ratio,edge_length_m,source_segment_ids,source_directions,source_row_count,min_axis_position,smoothing_applied,repair_reason
381453320#0,1,3,2,2,57.033333,0.166667,31.89,S7,upbound,1,0.435067,True,isolated_lane_gap_smoothing
781983104#0,2,3,3,3,153.360088,0.842105,90.45,S16 S17,upbound,2,0.453005,False,edge_weighted_majority_lane_target
-174870621#7,2,3,3,3,77.167568,0.216216,9.33,S1,upbound,1,0.46117,False,edge_weighted_majority_lane_target
218773868#4,2,3,2,2,106.317391,0.23913,60.67,S6,upbound,1,0.467858,True,isolated_lane_gap_smoothing
1206223947,2,3,3,3,77.271429,0.642857,26.19,S22,upbound,1,0.478681,False,edge_weighted_majority_lane_target
180445419,2,2,2,2,164.7,0.818182,100.78,S12,upbound,1,0.504044,False,edge_weighted_majority_lane_target
619147738#1,2,3,3,3,42.928571,0.357143,16.99,S22,upbound,1,0.515886,False,edge_weighted_majority_lane_target
-174870621#6,2,3,3,3,86.813514,0.243243,27.24,S1,upbound,1,0.520592,False,edge_weighted_majority_lane_target
219696193#2,2,3,2,2,93.26087,0.434783,40.56,S10,upbound,1,0.521929,True,isolated_lane_gap_smoothing
218773869#5,2,3,3,3,105.263265,0.22449,32.77,S9,upbound,1,0.522825,False,edge_weighted_majority_lane_target
218915133#2,2,3,2,2,100.65,0.5,47.24,S12,upbound,1,0.568905,True,isolated_lane_gap_smoothing
1206223945,2,3,3,3,85.857143,0.714286,24.77,S22,upbound,1,0.575519,False,edge_weighted_majority_lane_target
781985787#0,2,3,3,3,117.794444,0.722222,60.01,S15,upbound,1,0.57708,False,edge_weighted_majority_lane_target
-955312947#1,1,3,3,3,63.073684,0.368421,67.78,S17,upbound,1,0.592731,False,edge_weighted_majority_lane_target
-174870621#5,2,3,3,3,67.521622,0.189189,2.48,S1,upbound,1,0.601784,False,edge_weighted_majority_lane_target
218915135#3,2,3,3,3,156.258333,0.708333,109.38,S16,upbound,1,0.60503,False,edge_weighted_majority_lane_target
183272387#0,2,3,3,3,72.4,0.4,9.05,S2,upbound,1,0.619445,False,edge_weighted_majority_lane_target
218773868#5,2,2,2,2,86.986957,0.195652,48.88,S6,upbound,1,0.619811,False,edge_weighted_majority_lane_target
785130600#2,2,2,2,2,199.616667,0.583333,139.73,S7,upbound,1,0.627046,False,edge_weighted_majority_lane_target
578313748#0,2,3,3,3,81.45,0.45,16.98,S2,upbound,1,0.645101,False,edge_weighted_majority_lane_target
-381802847#2,1,3,3,3,57.875676,0.162162,89.34,S1,upbound,1,0.649247,False,edge_weighted_majority_lane_target
218773869#6,2,3,3,3,143.540816,0.306122,83.78,S9,upbound,1,0.671659,False,edge_weighted_majority_lane_target
-174870621#4,2,3,3,3,106.105405,0.297297,44.32,S1,upbound,1,0.682563,False,edge_weighted_majority_lane_target
781985793#0,2,2,2,2,65.282609,0.304348,2.93,S10,upbound,1,0.682824,False,edge_weighted_majority_lane_target
218773868#6,2,2,2,2,57.991304,0.130435,12.08,S6,upbound,1,0.720562,False,edge_weighted_majority_lane_target
1206223939,2,3,3,3,51.514286,0.428571,0.2,S22,upbound,1,0.723315,False,edge_weighted_majority_lane_target
218915133#3,2,3,2,2,73.2,0.363636,2.19,S12,upbound,1,0.746308,True,isolated_lane_gap_smoothing
333557072#5,2,3,3,3,124.531034,0.448276,79.36,S19,upbound,1,0.753862,False,edge_weighted_majority_lane_target
183272387#1,2,3,3,3,63.35,0.35,25.46,S2,upbound,1,0.75823,False,edge_weighted_majority_lane_target
615671503,2,3,3,3,34.342857,0.285714,10.19,S22,upbound,1,0.76821,False,edge_weighted_majority_lane_target
-1455512070,2,3,2,2,125.647826,0.282609,70.56,S6,upbound,1,0.838487,True,isolated_lane_gap_smoothing
-381802847#1,1,3,3,3,77.167568,0.216216,36.72,S1,upbound,1,0.838954,False,edge_weighted_majority_lane_target
218773869#7,2,3,3,3,114.832653,0.244898,55.12,S9,upbound,1,0.862576,False,edge_weighted_majority_lane_target
218773869#8,2,3,3,3,66.985714,0.142857,3.45,S9,upbound,1,0.90958,False,edge_weighted_majority_lane_target
615671502,2,3,3,3,42.928571,0.357143,0.2,S22,upbound,1,0.919568,False,edge_weighted_majority_lane_target
