route_id,transition_index,from_edge_id,to_edge_id,turn_angle_deg,turn_class
ER_ACC_007,12,180368918#6,180368918#7,1.311,normal
ER_ACC_007,13,180368918#7,180368918#8,2.333,normal
ER_ACC_007,14,180368918#8,218773868#0,1.645,normal
ER_ACC_007,15,218773868#0,218773868#2,6.453,normal
ER_ACC_007,16,218773868#2,218773868#3,0.227,normal
ER_ACC_007,17,218773868#3,218773868#4,1.127,normal
ER_ACC_007,18,218773868#4,218773868#5,0.019,normal
ER_ACC_007,19,218773868#5,218773868#6,0.918,normal
ER_ACC_007,20,218773868#6,-1455512070,1.016,normal
ER_ACC_007,21,-1455512070,-1455512069,1.265,normal
ER_ACC_007,22,-1455512069,428260110,2.189,normal
ER_ACC_007,23,428260110,785130600#0,5.536,normal
ER_ACC_007,24,785130600#0,785130600#1,8.278,normal
ER_ACC_007,25,785130600#1,785130600#2,4.928,normal
ER_ACC_007,26,785130600#2,785130600#3,1.533,normal
ER_ACC_007,27,785130600#3,1455497345,1.122,normal
ER_ACC_007,28,1455497345,218773869#1,1.649,normal
ER_ACC_007,29,218773869#1,218773869#3,1.256,normal
ER_ACC_007,30,218773869#3,218773869#4,1.01,normal
ER_ACC_007,31,218773869#4,218773869#5,2.551,normal
ER_ACC_007,32,218773869#5,218773869#6,2.396,normal
ER_ACC_007,33,218773869#6,218773869#7,5.435,normal
ER_ACC_007,34,218773869#7,218773869#8,20.278,normal
ER_ACC_007,35,218773869#8,-772527390#5,0.0,normal
ER_ACC_007,36,-772527390#5,785130598#0,0.0,normal
ER_ACC_007,37,785130598#0,785130598#1,11.306,normal
ER_ACC_007,38,785130598#1,785130598#3,0.831,normal
ER_ACC_007,39,785130598#3,223418965#1,103.663,normal
ER_ACC_007,40,223418965#1,223418965#2,0.411,normal
ER_ACC_007,41,223418965#2,273639501#0,69.501,normal
ER_ACC_007,42,273639501#0,273639501#2,9.573,normal
ER_ACC_007,43,273639501#2,-272263605#2,68.328,normal
ER_ACC_007,44,-272263605#2,-272263606,109.039,normal
ER_ACC_008,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_008,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_008,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_008,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_008,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_008,6,578313748#0,578313748#2,2.534,normal
ER_ACC_008,7,578313748#2,800229255,1.08,normal
ER_ACC_008,8,800229255,180368918#0,2.43,normal
ER_ACC_008,9,180368918#0,180368918#3,0.87,normal
ER_ACC_008,10,180368918#3,180368918#5,2.577,normal
ER_ACC_008,11,180368918#5,180368918#6,0.01,normal
ER_ACC_008,12,180368918#6,180368918#7,1.311,normal
ER_ACC_008,13,180368918#7,180368918#8,2.333,normal
ER_ACC_008,14,180368918#8,-913009312#10,69.013,normal
ER_ACC_008,15,-913009312#10,-913009312#9,3.032,normal
ER_ACC_008,16,-913009312#9,-913009312#8,3.262,normal
ER_ACC_008,17,-913009312#8,-913009312#5,1.615,normal
ER_ACC_008,18,-913009312#5,-913009312#4,2.951,normal
ER_ACC_008,19,-913009312#4,117914343#0,81.144,normal
